ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
150019,Chhattisgarh,Bilaspur,Locality_472,Independent House,4,548,374.97,0.68,1999,Semi-furnished,30,11,26,10,6,High,Yes,No,"Clubhouse, Garden",North,Builder,Under_Construction
150020,Jharkhand,Ranchi,Locality_240,Independent House,3,4287,100.38,0.02,2022,Furnished,1,6,3,9,9,Low,Yes,Yes,Gym,South,Builder,Ready_to_Move
150021,Chhattisgarh,Raipur,Locality_276,Independent House,5,4650,369.56,0.08,2010,Furnished,17,21,15,9,6,High,Yes,No,"Gym, Playground",South,Broker,Ready_to_Move
150022,Kerala,Trivandrum,Locality_358,Apartment,1,2664,60.91,0.02,2002,Semi-furnished,3,16,23,4,1,Medium,Yes,Yes,"Garden, Playground",East,Broker,Under_Construction
150023,Assam,Guwahati,Locality_50,Apartment,5,2681,24.17,0.01,1995,Furnished,29,24,30,7,7,Medium,No,No,"Gym, Clubhouse, Pool, Garden",North,Owner,Under_Construction
150024,Rajasthan,Jaipur,Locality_367,Independent House,3,4573,400.9,0.09,2023,Semi-furnished,7,29,2,9,7,Low,Yes,No,Clubhouse,North,Broker,Ready_to_Move
150025,Assam,Silchar,Locality_45,Villa,1,1588,70.01,0.04,1996,Semi-furnished,4,27,29,6,4,Medium,No,Yes,"Playground, Pool, Clubhouse",North,Builder,Ready_to_Move
150026,Odisha,Bhubaneswar,Locality_428,Villa,5,2065,155.44,0.08,1999,Unfurnished,12,5,26,5,9,Medium,No,Yes,Garden,North,Owner,Under_Construction
150027,Karnataka,Mysore,Locality_475,Independent House,3,663,102.47,0.15,2021,Unfurnished,21,18,4,8,9,Low,No,No,"Pool, Gym, Clubhouse, Garden",East,Owner,Ready_to_Move
150028,Uttar Pradesh,Noida,Locality_295,Independent House,3,3464,338.65,0.1,2009,Furnished,1,20,16,3,10,High,Yes,Yes,"Clubhouse, Playground, Garden, Pool",East,Builder,Under_Construction
150029,Assam,Silchar,Locality_296,Villa,3,2725,495.97,0.18,2000,Furnished,18,29,25,5,1,High,No,No,"Pool, Clubhouse, Garden",West,Builder,Under_Construction
150030,Kerala,Trivandrum,Locality_444,Independent House,1,1968,147.24,0.07,2023,Unfurnished,6,24,2,3,2,Medium,No,No,Garden,East,Builder,Under_Construction
150031,Bihar,Patna,Locality_79,Independent House,1,4600,240.73,0.05,2004,Semi-furnished,6,22,21,9,5,High,No,Yes,"Playground, Garden, Clubhouse, Gym",East,Owner,Under_Construction
150032,Kerala,Trivandrum,Locality_36,Apartment,4,3072,231.78,0.08,2019,Furnished,21,15,6,7,1,Medium,Yes,Yes,"Clubhouse, Playground",West,Owner,Under_Construction
150033,Delhi,Dwarka,Locality_15,Villa,1,1657,453.66,0.27,2016,Unfurnished,24,10,9,2,2,Low,Yes,No,"Clubhouse, Pool, Garden",East,Broker,Under_Construction
150034,Rajasthan,Jodhpur,Locality_289,Apartment,5,1896,295.58,0.16,2004,Furnished,16,2,21,3,4,Low,Yes,Yes,"Clubhouse, Pool, Garden",South,Broker,Ready_to_Move
150035,Punjab,Ludhiana,Locality_275,Independent House,2,3600,66.62,0.02,1991,Unfurnished,27,2,34,1,1,Medium,Yes,Yes,"Pool, Playground, Clubhouse",South,Broker,Ready_to_Move
150036,Bihar,Gaya,Locality_368,Independent House,4,2622,289.63,0.11,2020,Furnished,8,12,5,10,8,Medium,Yes,Yes,"Playground, Pool, Garden",West,Broker,Ready_to_Move
150037,Uttar Pradesh,Lucknow,Locality_479,Apartment,2,2860,465.97,0.16,2012,Furnished,4,28,13,5,6,Low,No,Yes,"Gym, Playground, Garden, Pool, Clubhouse",West,Broker,Under_Construction
150038,Haryana,Faridabad,Locality_5,Villa,1,4955,223.46,0.05,1999,Unfurnished,18,6,26,2,7,High,No,No,"Playground, Clubhouse, Gym, Pool",South,Owner,Ready_to_Move
150039,Karnataka,Mangalore,Locality_103,Independent House,3,516,179.14,0.35,1994,Furnished,27,24,31,2,5,High,No,Yes,Gym,West,Broker,Under_Construction
150040,Jharkhand,Ranchi,Locality_271,Apartment,4,2764,484.61,0.18,1997,Unfurnished,14,19,28,8,7,High,No,No,"Gym, Pool, Clubhouse, Garden, Playground",North,Owner,Under_Construction
150041,Assam,Guwahati,Locality_308,Villa,1,974,64.3,0.07,2021,Semi-furnished,17,29,4,9,6,Medium,No,No,Clubhouse,South,Broker,Under_Construction
150042,Telangana,Hyderabad,Locality_365,Apartment,4,688,201.08,0.29,2013,Unfurnished,8,4,12,3,7,High,Yes,No,"Playground, Garden",North,Broker,Ready_to_Move
150043,Tamil Nadu,Coimbatore,Locality_219,Villa,3,4967,131.16,0.03,2010,Furnished,2,26,15,8,7,Medium,No,No,"Clubhouse, Gym",East,Builder,Ready_to_Move
150044,Rajasthan,Jodhpur,Locality_305,Independent House,2,2111,33.47,0.02,1997,Furnished,21,22,28,6,6,Medium,Yes,Yes,"Garden, Gym, Pool, Clubhouse, Playground",West,Owner,Under_Construction
150045,Karnataka,Bangalore,Locality_416,Independent House,3,4058,181.93,0.04,1997,Unfurnished,6,14,28,10,8,High,No,No,Pool,South,Builder,Ready_to_Move
150046,Odisha,Cuttack,Locality_108,Independent House,5,4024,211.8,0.05,1996,Semi-furnished,24,3,29,3,3,Low,No,No,"Garden, Pool, Playground, Gym, Clubhouse",North,Owner,Under_Construction
150047,Kerala,Kochi,Locality_451,Independent House,5,4413,200.06,0.05,2017,Semi-furnished,19,9,8,8,7,High,Yes,No,"Gym, Pool, Garden, Playground",South,Broker,Under_Construction
150048,Bihar,Patna,Locality_379,Villa,2,1379,279.2,0.2,2018,Unfurnished,11,29,7,4,7,Low,No,Yes,"Playground, Garden, Pool, Clubhouse, Gym",West,Builder,Under_Construction
150049,Uttar Pradesh,Noida,Locality_134,Independent House,3,4221,346.89,0.08,1990,Furnished,8,13,35,2,2,Low,Yes,Yes,Pool,South,Broker,Ready_to_Move
150050,Bihar,Gaya,Locality_254,Apartment,4,3549,167.67,0.05,1997,Unfurnished,3,18,28,3,7,High,No,No,"Clubhouse, Playground, Garden, Pool",North,Builder,Under_Construction
150051,Karnataka,Bangalore,Locality_414,Apartment,4,2860,81.48,0.03,1994,Furnished,1,18,31,10,2,High,Yes,No,"Garden, Clubhouse",South,Owner,Ready_to_Move
150052,Gujarat,Surat,Locality_273,Independent House,1,3690,396.16,0.11,2009,Semi-furnished,2,1,16,2,1,Medium,No,Yes,"Clubhouse, Playground, Garden, Pool, Gym",South,Broker,Ready_to_Move
150053,Kerala,Trivandrum,Locality_235,Villa,4,4816,20.52,0.0,2000,Furnished,2,17,25,10,5,High,Yes,No,"Clubhouse, Playground, Gym, Garden, Pool",North,Broker,Ready_to_Move
150054,Maharashtra,Nagpur,Locality_43,Apartment,2,556,366.25,0.66,2011,Unfurnished,0,21,14,5,3,Medium,Yes,Yes,"Garden, Clubhouse, Gym",South,Broker,Ready_to_Move
150055,Madhya Pradesh,Bhopal,Locality_371,Independent House,3,4496,272.11,0.06,2022,Furnished,14,30,3,10,4,High,Yes,Yes,Pool,North,Builder,Ready_to_Move
150056,Rajasthan,Jodhpur,Locality_16,Apartment,5,2678,71.45,0.03,2008,Semi-furnished,20,22,17,2,6,Medium,No,Yes,"Playground, Pool, Gym",North,Owner,Ready_to_Move
150057,Rajasthan,Jodhpur,Locality_119,Independent House,2,3426,203.8,0.06,2016,Furnished,13,9,9,8,8,High,No,No,"Playground, Garden, Gym",East,Owner,Under_Construction
150058,Tamil Nadu,Chennai,Locality_235,Independent House,2,2637,28.34,0.01,2019,Semi-furnished,29,4,6,7,9,Low,No,No,"Playground, Garden, Pool",North,Broker,Ready_to_Move
150059,Madhya Pradesh,Indore,Locality_206,Independent House,1,3949,187.67,0.05,2015,Semi-furnished,12,22,10,4,4,High,No,Yes,Gym,North,Builder,Ready_to_Move
150060,Kerala,Kochi,Locality_121,Apartment,4,832,122.54,0.15,2006,Furnished,4,12,19,1,3,Low,Yes,No,"Garden, Pool",West,Broker,Ready_to_Move
150061,Andhra Pradesh,Vishakhapatnam,Locality_205,Villa,4,3927,124.6,0.03,2015,Furnished,18,9,10,9,6,Medium,Yes,Yes,"Clubhouse, Gym",South,Owner,Ready_to_Move
150062,Uttarakhand,Haridwar,Locality_192,Apartment,1,1893,416.07,0.22,2022,Furnished,12,25,3,2,9,Medium,No,No,Pool,North,Owner,Ready_to_Move
150063,Haryana,Faridabad,Locality_347,Apartment,3,4251,51.65,0.01,1995,Furnished,3,27,30,5,10,High,No,No,"Gym, Clubhouse, Garden",East,Broker,Under_Construction
150064,Rajasthan,Jaipur,Locality_84,Villa,4,3312,117.8,0.04,1996,Furnished,23,2,29,9,9,High,No,Yes,"Clubhouse, Garden",South,Broker,Under_Construction
150065,Telangana,Warangal,Locality_434,Independent House,5,3227,128.93,0.04,2018,Furnished,12,21,7,9,8,Low,Yes,No,"Garden, Clubhouse, Playground, Pool, Gym",South,Owner,Ready_to_Move
150066,Kerala,Trivandrum,Locality_270,Independent House,1,864,247.04,0.29,1990,Unfurnished,4,9,35,3,6,Medium,Yes,Yes,"Gym, Garden, Pool, Clubhouse",East,Builder,Under_Construction
150067,Tamil Nadu,Chennai,Locality_80,Villa,3,2408,339.97,0.14,2006,Semi-furnished,17,8,19,5,3,High,No,No,"Garden, Gym, Clubhouse, Playground, Pool",North,Owner,Ready_to_Move
150068,Gujarat,Surat,Locality_32,Independent House,2,3692,430.63,0.12,2021,Semi-furnished,11,21,4,6,4,Medium,Yes,Yes,Garden,South,Builder,Ready_to_Move
150069,Uttar Pradesh,Lucknow,Locality_296,Villa,5,3848,131.61,0.03,2020,Semi-furnished,7,15,5,10,4,Medium,Yes,Yes,"Playground, Garden, Clubhouse",West,Owner,Ready_to_Move
150070,Bihar,Gaya,Locality_197,Independent House,5,4568,74.41,0.02,2021,Unfurnished,11,12,4,1,1,Medium,No,No,"Clubhouse, Playground, Garden",North,Builder,Ready_to_Move
150071,Telangana,Warangal,Locality_432,Apartment,5,3464,293.1,0.08,1990,Furnished,23,13,35,4,6,Low,No,No,"Gym, Garden",South,Builder,Ready_to_Move
150072,Uttar Pradesh,Lucknow,Locality_202,Independent House,1,517,170.61,0.33,2016,Furnished,21,19,9,3,1,High,No,Yes,"Gym, Pool, Clubhouse, Garden, Playground",West,Broker,Ready_to_Move
150073,Madhya Pradesh,Bhopal,Locality_205,Villa,5,4193,28.96,0.01,2001,Semi-furnished,5,19,24,4,2,High,No,No,"Clubhouse, Pool, Gym, Playground",West,Owner,Under_Construction
150074,West Bengal,Kolkata,Locality_116,Villa,1,1594,33.0,0.02,2018,Unfurnished,14,1,7,3,10,High,Yes,No,"Playground, Gym",South,Owner,Ready_to_Move
150075,Jharkhand,Ranchi,Locality_332,Independent House,3,4553,469.68,0.1,2013,Semi-furnished,10,1,12,6,3,High,Yes,Yes,"Garden, Gym, Playground, Clubhouse",North,Broker,Under_Construction
150076,Rajasthan,Jaipur,Locality_163,Independent House,1,3443,250.16,0.07,1992,Furnished,11,25,33,2,5,Low,No,No,"Clubhouse, Playground, Gym",East,Owner,Ready_to_Move
150077,Andhra Pradesh,Vishakhapatnam,Locality_103,Apartment,5,1577,272.76,0.17,2010,Unfurnished,10,18,15,10,4,Medium,Yes,Yes,"Garden, Clubhouse, Gym, Playground",North,Broker,Under_Construction
150078,Haryana,Gurgaon,Locality_452,Independent House,4,2113,452.6,0.21,2018,Furnished,20,7,7,1,3,Low,No,No,"Clubhouse, Pool, Playground",North,Owner,Ready_to_Move
150079,Haryana,Gurgaon,Locality_422,Independent House,3,3745,50.71,0.01,2006,Furnished,11,23,19,4,1,High,No,Yes,"Clubhouse, Playground, Gym",East,Owner,Ready_to_Move
150080,Telangana,Warangal,Locality_493,Apartment,4,2345,193.03,0.08,1998,Semi-furnished,17,14,27,5,2,Low,Yes,Yes,"Pool, Garden, Playground, Clubhouse",North,Owner,Under_Construction
150081,Jharkhand,Jamshedpur,Locality_20,Independent House,3,2763,435.33,0.16,2004,Unfurnished,29,17,21,5,9,Medium,Yes,Yes,"Pool, Garden, Playground, Gym",East,Broker,Under_Construction
150082,Madhya Pradesh,Indore,Locality_26,Villa,1,1409,288.46,0.2,1997,Unfurnished,10,15,28,4,3,Medium,No,No,Garden,East,Builder,Ready_to_Move
150083,Assam,Guwahati,Locality_233,Villa,2,2595,402.3,0.16,2021,Semi-furnished,9,21,4,6,6,Medium,No,No,"Garden, Playground, Gym, Pool",West,Owner,Ready_to_Move
150084,Jharkhand,Ranchi,Locality_54,Villa,5,2782,311.01,0.11,2008,Furnished,10,23,17,7,4,Low,No,Yes,"Clubhouse, Pool, Playground, Gym, Garden",North,Builder,Ready_to_Move
150085,Punjab,Amritsar,Locality_300,Apartment,2,4740,148.94,0.03,2004,Semi-furnished,7,21,21,9,2,Low,No,No,"Clubhouse, Playground, Gym, Pool, Garden",West,Builder,Under_Construction
150086,Gujarat,Ahmedabad,Locality_406,Villa,4,1894,165.07,0.09,2002,Furnished,3,4,23,6,1,Low,No,No,Gym,West,Owner,Under_Construction
150087,Kerala,Trivandrum,Locality_81,Independent House,2,4989,312.8,0.06,1991,Furnished,11,12,34,5,5,Low,No,No,"Gym, Clubhouse",East,Builder,Ready_to_Move
150088,Telangana,Warangal,Locality_146,Independent House,5,796,292.65,0.37,2002,Semi-furnished,16,29,23,5,6,Medium,No,No,"Garden, Pool, Playground, Clubhouse, Gym",East,Builder,Ready_to_Move
150089,West Bengal,Durgapur,Locality_470,Villa,5,1883,179.46,0.1,2013,Semi-furnished,12,15,12,6,3,High,Yes,Yes,"Playground, Clubhouse",South,Builder,Under_Construction
150090,Karnataka,Mysore,Locality_371,Apartment,2,3984,456.61,0.11,2005,Unfurnished,22,27,20,9,6,High,Yes,No,"Gym, Pool, Garden, Playground",West,Broker,Under_Construction
150091,Uttarakhand,Dehradun,Locality_479,Apartment,4,3518,333.21,0.09,1996,Semi-furnished,7,30,29,3,6,Low,Yes,No,"Clubhouse, Playground, Gym, Garden",South,Builder,Under_Construction
150092,Odisha,Bhubaneswar,Locality_137,Independent House,4,2724,111.11,0.04,2021,Furnished,30,11,4,4,4,High,Yes,Yes,"Garden, Playground, Gym, Pool, Clubhouse",East,Broker,Under_Construction
150093,Rajasthan,Jodhpur,Locality_499,Villa,1,3949,35.16,0.01,2019,Unfurnished,9,1,6,5,7,High,No,Yes,"Garden, Pool, Gym, Clubhouse",West,Owner,Ready_to_Move
150094,West Bengal,Durgapur,Locality_85,Independent House,4,3547,482.04,0.14,2001,Semi-furnished,27,11,24,8,4,Low,No,No,"Clubhouse, Garden, Playground, Gym, Pool",East,Owner,Under_Construction
150095,Odisha,Bhubaneswar,Locality_112,Independent House,2,3606,135.17,0.04,2017,Unfurnished,22,26,8,9,1,Medium,Yes,Yes,"Clubhouse, Garden, Pool",East,Owner,Ready_to_Move
150096,Haryana,Gurgaon,Locality_34,Villa,5,2349,447.22,0.19,1997,Semi-furnished,23,19,28,8,2,Low,Yes,No,"Pool, Clubhouse, Playground, Garden",North,Owner,Under_Construction
150097,Assam,Silchar,Locality_372,Villa,3,3204,258.38,0.08,2016,Furnished,0,26,9,5,7,Medium,No,Yes,"Playground, Pool, Gym, Garden",West,Builder,Under_Construction
150098,West Bengal,Durgapur,Locality_15,Independent House,3,772,455.62,0.59,1999,Semi-furnished,4,25,26,8,3,High,Yes,Yes,"Playground, Pool",East,Builder,Under_Construction
150099,Haryana,Gurgaon,Locality_36,Independent House,1,4031,42.04,0.01,2009,Semi-furnished,29,25,16,5,8,High,No,No,Gym,South,Builder,Under_Construction
150100,Tamil Nadu,Chennai,Locality_345,Villa,4,3618,195.76,0.05,2000,Furnished,9,28,25,9,3,Low,No,Yes,"Pool, Garden, Gym, Playground",North,Broker,Under_Construction
150101,Punjab,Amritsar,Locality_137,Independent House,2,2590,491.37,0.19,2018,Furnished,28,23,7,9,6,Low,No,No,"Gym, Garden",West,Broker,Ready_to_Move
150102,Rajasthan,Jaipur,Locality_106,Apartment,4,1911,98.39,0.05,2002,Semi-furnished,27,23,23,9,7,Low,No,No,"Clubhouse, Pool",North,Broker,Under_Construction
150103,Punjab,Ludhiana,Locality_230,Apartment,3,4228,298.57,0.07,2003,Semi-furnished,22,21,22,6,3,Low,No,Yes,"Gym, Clubhouse, Playground, Garden, Pool",West,Broker,Under_Construction
150104,Tamil Nadu,Chennai,Locality_28,Apartment,4,4943,172.06,0.03,1992,Furnished,25,30,33,8,5,Medium,Yes,No,"Playground, Pool, Clubhouse",East,Owner,Ready_to_Move
150105,Andhra Pradesh,Vishakhapatnam,Locality_90,Apartment,3,3894,36.14,0.01,2015,Furnished,10,4,10,3,9,High,Yes,No,"Playground, Garden",East,Owner,Ready_to_Move
150106,Uttar Pradesh,Lucknow,Locality_27,Independent House,3,2595,89.5,0.03,2015,Furnished,7,11,10,2,10,Low,No,Yes,Clubhouse,South,Broker,Under_Construction
150107,Rajasthan,Jodhpur,Locality_101,Apartment,4,598,66.54,0.11,1999,Furnished,7,29,26,10,3,Medium,No,No,"Garden, Gym, Clubhouse, Pool, Playground",South,Owner,Ready_to_Move
150108,Haryana,Gurgaon,Locality_428,Villa,2,1711,24.22,0.01,2006,Unfurnished,7,17,19,1,5,High,Yes,No,Pool,West,Owner,Ready_to_Move
150109,Maharashtra,Nagpur,Locality_360,Independent House,4,4540,184.57,0.04,1995,Furnished,25,1,30,10,8,High,Yes,No,"Garden, Pool",West,Owner,Under_Construction
150110,Delhi,New Delhi,Locality_195,Independent House,2,2635,377.9,0.14,2021,Semi-furnished,17,11,4,1,7,High,No,No,"Playground, Garden, Clubhouse, Gym",West,Broker,Ready_to_Move
150111,Chhattisgarh,Raipur,Locality_302,Apartment,3,4537,321.0,0.07,2022,Unfurnished,13,23,3,9,5,Low,Yes,No,"Gym, Clubhouse",East,Broker,Under_Construction
150112,Assam,Silchar,Locality_454,Independent House,1,3691,120.35,0.03,2021,Semi-furnished,17,18,4,4,7,Low,Yes,No,Garden,North,Broker,Ready_to_Move
150113,Uttar Pradesh,Noida,Locality_387,Villa,4,2282,38.09,0.02,2014,Furnished,16,15,11,1,1,Medium,Yes,Yes,"Garden, Gym, Clubhouse, Playground",East,Builder,Ready_to_Move
150114,Telangana,Warangal,Locality_370,Independent House,4,1215,196.6,0.16,2004,Unfurnished,11,26,21,8,1,Low,No,Yes,"Gym, Garden, Pool",West,Builder,Under_Construction
150115,Maharashtra,Pune,Locality_394,Villa,1,2564,233.57,0.09,2010,Unfurnished,22,26,15,1,3,High,No,No,"Pool, Gym, Garden, Clubhouse",West,Broker,Under_Construction
150116,Madhya Pradesh,Bhopal,Locality_90,Apartment,3,4617,276.43,0.06,2005,Semi-furnished,22,19,20,5,1,Low,No,Yes,"Pool, Gym, Clubhouse, Garden, Playground",South,Builder,Under_Construction
150117,Karnataka,Mangalore,Locality_253,Independent House,3,4445,288.1,0.06,2018,Semi-furnished,5,5,7,3,9,Medium,No,No,"Clubhouse, Playground",East,Owner,Under_Construction
150118,Madhya Pradesh,Indore,Locality_248,Independent House,5,4670,71.2,0.02,2023,Unfurnished,17,28,2,7,5,Low,No,Yes,"Playground, Garden",South,Broker,Under_Construction
150119,Rajasthan,Jodhpur,Locality_261,Villa,5,2850,53.98,0.02,2017,Furnished,9,7,8,5,4,Medium,No,Yes,"Clubhouse, Gym, Pool, Garden, Playground",East,Builder,Under_Construction
150120,Haryana,Gurgaon,Locality_267,Villa,3,2487,260.16,0.1,2016,Furnished,21,23,9,5,10,High,No,Yes,"Pool, Playground, Gym",West,Builder,Ready_to_Move
150121,Bihar,Patna,Locality_282,Villa,2,4975,473.33,0.1,1994,Unfurnished,7,24,31,3,5,High,Yes,Yes,"Garden, Playground, Gym, Clubhouse",West,Owner,Ready_to_Move
150122,Rajasthan,Jodhpur,Locality_452,Independent House,4,2536,429.62,0.17,1991,Unfurnished,2,20,34,10,1,High,Yes,No,"Garden, Gym, Pool, Playground",West,Owner,Ready_to_Move
150123,Telangana,Warangal,Locality_314,Villa,5,3686,133.16,0.04,1993,Semi-furnished,29,2,32,1,10,High,No,Yes,"Clubhouse, Gym, Garden",East,Owner,Under_Construction
150124,Jharkhand,Jamshedpur,Locality_51,Villa,5,2345,120.68,0.05,1996,Unfurnished,30,22,29,8,9,Low,No,Yes,"Pool, Garden, Gym",South,Owner,Ready_to_Move
150125,Telangana,Hyderabad,Locality_276,Independent House,5,2577,324.42,0.13,2009,Unfurnished,25,17,16,3,7,High,Yes,No,"Gym, Playground, Garden, Clubhouse, Pool",East,Owner,Under_Construction
150126,Assam,Guwahati,Locality_2,Apartment,3,2990,125.13,0.04,2008,Furnished,26,11,17,9,6,Low,No,No,"Garden, Gym",West,Broker,Under_Construction
150127,Bihar,Gaya,Locality_123,Apartment,2,982,354.21,0.36,1997,Semi-furnished,17,6,28,6,7,Low,Yes,No,Pool,East,Builder,Ready_to_Move
150128,Gujarat,Ahmedabad,Locality_23,Villa,4,4251,188.31,0.04,2009,Furnished,28,14,16,1,3,Medium,Yes,Yes,"Playground, Pool, Clubhouse",North,Builder,Ready_to_Move
150129,Odisha,Cuttack,Locality_14,Apartment,2,920,141.72,0.15,1999,Furnished,26,24,26,10,10,Low,No,No,"Gym, Playground, Pool",South,Owner,Ready_to_Move
150130,Kerala,Trivandrum,Locality_406,Independent House,1,1961,432.67,0.22,2013,Semi-furnished,2,2,12,9,1,Medium,No,No,"Playground, Pool, Clubhouse, Gym, Garden",West,Broker,Ready_to_Move
150131,Bihar,Gaya,Locality_256,Apartment,2,4242,99.71,0.02,1991,Furnished,0,16,34,9,7,Low,No,Yes,"Gym, Pool, Clubhouse, Playground",West,Owner,Under_Construction
150132,Madhya Pradesh,Bhopal,Locality_256,Apartment,5,4347,468.65,0.11,2000,Semi-furnished,15,8,25,8,4,High,Yes,Yes,"Pool, Gym, Garden",South,Builder,Under_Construction
150133,Chhattisgarh,Raipur,Locality_156,Villa,3,3262,466.01,0.14,2010,Furnished,2,14,15,10,6,High,Yes,Yes,"Playground, Garden, Clubhouse, Gym",East,Owner,Ready_to_Move
150134,Kerala,Trivandrum,Locality_15,Apartment,1,3467,275.72,0.08,2017,Furnished,7,5,8,1,2,Medium,No,No,"Pool, Gym",North,Builder,Under_Construction
150135,Assam,Guwahati,Locality_316,Independent House,5,2253,389.71,0.17,2003,Semi-furnished,27,27,22,10,8,Low,Yes,No,"Gym, Playground",East,Owner,Under_Construction
150136,Odisha,Cuttack,Locality_193,Apartment,4,3069,311.3,0.1,2019,Unfurnished,14,9,6,5,2,High,Yes,No,"Clubhouse, Garden, Playground, Gym, Pool",East,Broker,Under_Construction
150137,Telangana,Warangal,Locality_449,Villa,3,1495,263.03,0.18,1994,Furnished,8,10,31,4,8,Low,Yes,Yes,"Playground, Pool, Clubhouse, Garden",North,Broker,Under_Construction
150138,Delhi,New Delhi,Locality_8,Independent House,4,4260,134.84,0.03,1990,Semi-furnished,19,25,35,9,6,Medium,Yes,Yes,"Garden, Gym, Playground",North,Owner,Ready_to_Move
150139,Delhi,New Delhi,Locality_375,Villa,1,3944,331.87,0.08,2013,Semi-furnished,3,30,12,3,6,Low,Yes,No,"Clubhouse, Playground",East,Broker,Under_Construction
150140,West Bengal,Durgapur,Locality_482,Villa,2,2273,101.19,0.04,1996,Unfurnished,14,29,29,1,6,Medium,No,Yes,"Pool, Playground",East,Broker,Ready_to_Move
150141,Jharkhand,Jamshedpur,Locality_174,Villa,3,3902,278.45,0.07,2005,Unfurnished,12,18,20,5,2,High,Yes,No,"Pool, Clubhouse, Gym",East,Owner,Under_Construction
150142,Odisha,Bhubaneswar,Locality_281,Apartment,4,4045,197.7,0.05,1996,Furnished,11,2,29,2,5,Medium,Yes,Yes,Clubhouse,South,Broker,Ready_to_Move
